Site,Longitude,Latitude,Habitat,Island_shore,Distance_from_shore,Distance_from_crest,Watershed_area,Cleared_area
001,-149.850116,-17.587961,Fringing reef,SW,174.1,849.8,0.526,0.217
002,-149.851314,-17.59043,Mid lagoon,SW,473.14,553.38,0.526,0.217
003,-149.861271,-17.590527,Back reef,SW,1197.44,225.65,0.469,0.18
004,-149.858435,-17.584738,Fringing reef,SW,664.31,905.38,0.47,0.164
005,-149.867294,-17.585097,Back reef,SW,1186.88,185.26,0.521,0.139
006,-149.87319,-17.57797,Back reef,SW,923.17,157.06,0.5,0.117
007,-149.862221,-17.57851,Fringing reef,SW,283.02,1037.33,0.516,0.137
008,-149.854524,-17.582346,Fringing reef,SW,209.34,1377.11,0.508,0.176
009,-149.874002,-17.574527,Back reef,SW,794.43,341.65,0.5,0.117
010,-149.870001,-17.575209,Mid lagoon,SW,467,612.6,0.5,0.117
011,-149.866158,-17.57273,Fringing reef,SW,33.53,1103.04,0.788,0.133
012,-149.848239,-17.593649,Reef pass,SW,791.57,223.38,0.289,0.178
013,-149.870573,-17.567691,Fringing reef,SW,184,964.55,2.177,0.256
014,-149.866259,-17.582811,Mid lagoon,SW,923.59,400.16,0.516,0.137
015,-149.8535,-17.58035,Fringing reef,SW,113.24,1613.2,5.626,0.442
016,-149.842608,-17.58695,Bay,SW,142.02,1034.04,6.092,0.396
017,-149.839035,-17.593286,Fringing reef,SW,209.6,553.84,0.4,0.089
018,-149.840803,-17.595673,Reef pass,SW,528.55,230.56,0.4,0.089
019,-149.839801,-17.598289,Back reef,SW,725.81,195.58,0.4,0.089
020,-149.830339,-17.602384,Back reef,SW,1206.12,209.85,1.035,0.078
021,-149.826245,-17.593444,Fringing reef,SW,138.22,1242.56,1.018,0.08
022,-149.810896,-17.603269,Back reef,SW,1233.02,188.06,0.193,0.125
023,-149.815199,-17.592452,Fringing reef,SW,106.97,1399.32,0.895,0.07
024,-149.809543,-17.593253,Fringing reef,SW,114.81,1289.38,0.193,0.126
025,-149.806754,-17.594369,Fringing reef,SW,295.59,1151.17,0.252,0.167
026,-149.803712,-17.591462,Fringing reef,SE,163.2,1005.72,0.927,0.284
027,-149.79641,-17.594238,Back reef,SE,988.65,176.18,0.927,0.285
028,-149.819394,-17.598821,Mid lagoon,SW,671.42,708.71,0.427,0.034
029,-149.828384,-17.597421,Mid lagoon,SW,626.07,791.84,1.035,0.078
030,-149.810767,-17.59838,Mid lagoon,SW,697.22,728.77,0.193,0.126
031,-149.803888,-17.59796,Mid lagoon,SW,782.17,677.28,0.979,0.304
032,-149.799892,-17.59291,Mid lagoon,SE,591.82,570.58,0.927,0.285
033,-149.790909,-17.587183,Back reef,SE,1023.89,121.22,0.479,0.104
034,-149.7936,-17.580673,Mid lagoon,SE,466.7,695.86,0.505,0.101
035,-149.798549,-17.583832,Fringing reef,SE,160.15,1010.4,0.747,0.179
